state,poll,start_date,end_date,clinton,trump,spread
maine,MPRC (D)MPRC (D),2020-10-24,2020-10-26,42,37,Clinton +5
colorado,Final Results,NA,NA,48.2,43.3,Clinton +4.9
colorado,RCP Average,2020-10-28,2020-11-04,43.3,40.4,Clinton +2.9
colorado,PPP (D)PPP (D),2020-11-03,2020-11-04,48,43,Clinton +5
colorado,GravisGravis,2020-11-01,2020-11-02,40,40,Tie
colorado,Keating Research (D)Keating Research (D),2020-11-02,2020-11-03,43,38,Clinton +5
colorado,Trafalgar Group (R)Trafalgar,2020-10-31,2020-11-03,45,44,Clinton +1
colorado,Magellan Strategies (R)Magellan,2020-11-01,2020-11-02,44,38,Clinton +6
colorado,University of DenverUniv. of Denver,2020-10-29,2020-10-31,39,39,Tie
colorado,EmersonEmerson,2020-10-28,2020-10-31,44,41,Clinton +3
new_mexico,Final Results,NA,NA,48.3,40,Clinton +8.3
new_mexico,RCP Average,2020-11-01,2020-11-06,45.3,40.3,Clinton +5.0
new_mexico,Zia PollZia Poll,2020-11-06,2020-11-06,46,44,Clinton +2
new_mexico,Albuquerque JournalAlbuquerque Journal,2020-11-01,2020-11-03,45,40,Clinton +5
new_mexico,GravisGravis,2020-11-01,2020-11-02,45,37,Clinton +8
minnesota,Final Results,NA,NA,46.4,44.9,Clinton +1.5
minnesota,KSTP/SurveyUSAKSTP-TV,2020-10-22,2020-10-25,49,39,Clinton +10
minnesota,Star TribuneStar Tribune,2020-10-20,2020-10-22,47,39,Clinton +8
minnesota,GravisGravis,2020-09-23,2020-09-23,43,43,Tie
minnesota,KSTP/SurveyUSAKSTP-TV,2020-09-16,2020-09-20,46,39,Clinton +7
minnesota,Star TribuneStar Tribune,2020-09-12,2020-09-14,44,38,Clinton +6
